Timestamp,ID operatore,Genere,Età,Ruolo o impiego,"Se 'Altro', quale?",Esperienza con attività manuali di assemblaggio,Hai assemblato quale prodotto?,"L’attività di assemblaggio era chiara da comprendere? (1 = poco chiara, 5 = molto chiara)","La sequenza operativa era intuitiva? (1 = poco intuitiva, 5 = molto intuitiva)","Il livello di difficoltà dell’assemblaggio era (1 = poco difficile, 5 = molto difficile):",Il tempo totale di esecuzione del compito ti è sembrato:,Quali passaggi dell’assemblaggio ti sono risultati più complessi?,"Quanto sforzo fisico hai percepito durante l’assemblaggio? (1 = poco sforzo, 5 = molto sforzo)","La postura richiesta dall’assemblaggio era confortevole? (1 = poco confortevole, 5 = molto confortevole)",Hai percepito affaticamento significativo?,Indica eventuali momenti in cui hai percepito affaticamento o scomodità.,"Ti sei sentito sicuro durante l’assemblaggio? (1 = poco sicuro, 5 = molto sicuro)",Hai incontrato situazioni potenzialmente pericolose?,Descrivi eventuali rischi percepiti o problemi di sicurezza.,"Ritieni che il flusso operativo fosse efficiente? (1 = poco efficiente, 5 = molto efficiente)","Gli strumenti necessari (chiavi, viti, componenti) erano facilmente accessibili? (1 = poco accessibili, 5 = molto accessibili)","Quanto è stata fluida l’esecuzione delle varie fasi dell’assemblaggio? (1 = poco fluida, 5 = molto fluida)",Quali strumenti o aspetti migliorerebbero la tua efficienza operativa?,"Valutazione complessiva dell’esperienza di assemblaggio manuale (1 = molto negativa, 5 = molto positiva)",Quali aspetti dell’assemblaggio hai trovato più positivi?,Quali aspetti dovrebbero essere migliorati?,Ulteriori commenti o suggerimenti
12/2/2025 19:01:14,1,M,>= 30 e < 40,Ricercatore,,Nessuna,LEGO Duplo,4,3,1,Adeguato,"4, 9",1,5,No,N/A,5,"No, mai",N/A,4,5,5,N/A,4,N/A,N/A,N/A
12/2/2025 19:13:22,2,M,>= 30 e < 40,Altro,AVVOCATO,Base (≤ 1 anno),Racing Car Toy,4,5,2,Troppo lungo,ALETTONI LATERALI,1,5,No,NESSUNO,5,"No, mai",NESSUNO,5,5,4,,5,GLI STRUMENTI OFFERTI DAL RICERCATORE,NESSUNO,DA PROVARE
12/15/2025 18:01:21,3,M,>= 25 e < 30,Studente,,Avanzata (> 3 anni),LEGO Duplo,5,4,1,Troppo lungo,Ordinamento e divisione delle fasi di assemblaggio nel manuale non immediata,1,4,No,,5,"No, mai",,4,5,4,Pezzi in sequenza di assemblaggio,4,Facilità di unione delle singole componenti tra loro,Separazione migliore delle fasi di assemblaggio,
12/15/2025 22:30:53,4,M,>= 18 e < 25,Studente,,Nessuna,Racing Car Toy,5,5,2,Adeguato,I pezzi sul lato ,1,4,No,,5,"No, mai",,5,5,4,,5,,,
12/16/2025 15:51:32,5,M,>= 30 e < 40,Altro,Sviluppatore software in ambito AI,Base (≤ 1 anno),LEGO Duplo,5,5,1,Adeguato,,1,3,No,,5,"No, mai",,5,5,5,,5,,,
12/16/2025 16:29:40,6,M,>= 30 e < 40,Studente,,Intermedia (1–3 anni),Racing Car Toy,5,5,1,Adeguato,Trovare le viti della giusta lunghezza,1,4,No,,5,"No, mai",,4,4,4,,5,,,
12/16/2025 17:10:32,7,M,>= 25 e < 30,Studente,,Intermedia (1–3 anni),LEGO Duplo,5,4,1,Adeguato,,1,2,No,,5,"No, mai",,3,4,4,,4,,clusterizzazione pezzi consecutivi,
12/17/2025 14:45:17,9,M,>= 25 e < 30,Studente,,Avanzata (> 3 anni),Racing Car Toy,3,4,2,Adeguato,Lateral bumpers,1,5,No,,4,"No, mai",,3,5,4,,3,,"Le istruzioni davano troppa libertà di scelta riguardo l'ordine di montaggio degli elementi. Sarebbe meglio avere delle istruzioni più sequenziali, ovvero che indicassero un procedimento sequenziale di montaggio.",
2/6/2026 17:51:30,16,M,>= 25 e < 30,Studente,,Intermedia (1–3 anni),LEGO Duplo,4,4,1,Adeguato,nessuno,1,4,No,,5,"No, mai",,4,5,5,una sedia,5,,,
2/6/2026 17:53:45,17,M,>= 18 e < 25,Studente,,Avanzata (> 3 anni),Racing Car Toy,3,5,2,Adeguato,il posizionamento del motore,1,5,No,,5,"No, mai",,5,5,5,,5,l'assemblaggio in sè,,
2/6/2026 18:39:09,19,M,>= 40 e < 50,Ingegnere / Progettista,,Nessuna,Racing Car Toy,5,,2,Adeguato,,1,3,No,,5,"No, mai",,5,5,5,,5,,,
2/9/2026 16:46:35,21,M,>= 25 e < 30,Studente,,Base (≤ 1 anno),LEGO Duplo,5,5,1,Non saprei,Identificazione pezzi (colore poco accurato),1,3,No,Lettura dei colori dei blocchi,4,"No, mai",Piano appoggio troppo basso,3,5,3,"Migliore classificazione dei componenti (basata su codici, meno su aspetto)",4,Semplicità,Riconoscimento oggetti,
2/11/2026 15:41:53,22,M,>= 25 e < 30,Ricercatore,,Intermedia (1–3 anni),Racing Car Toy,3,3,2,Adeguato,"le viti che si infilano sopra la carrozzeria, ma che hanno bisogno del fondo della macchina per essere fissate",2,3,No,,2,"No, mai",avevo paura di sbagliare,2,5,3,avere un ordine delle operazioni prestabilito,4,mi sono divertito a vedere la macchina assemblata alla fine,specificare ordine delle operazioni,
2/11/2026 16:54:22,20,M,>= 25 e < 30,Studente,,Avanzata (> 3 anni),LEGO Duplo,5,5,1,Adeguato,,1,5,No,,5,"No, mai",,5,5,5,,5,Le istruzioni sequenziali sono sempre ottime da seguire.,,
2/12/2026 15:25:15,23,M,>= 25 e < 30,Studente,,Base (≤ 1 anno),Racing Car Toy,5,4,1,Adeguato,Paraurti laterali,1,4,No,,5,"No, mai",,4,5,5,,5,,,
2/12/2026 16:08:07,24,M,>= 25 e < 30,Studente,,Nessuna,LEGO Duplo,4,5,1,Adeguato,,1,2,No,,4,"No, mai",,4,5,4,,4,,,
2/12/2026 16:43:50,25,M,>= 25 e < 30,Studente,,Intermedia (1–3 anni),LEGO Duplo,5,4,4,Troppo lungo,"la ricerca dei componenti giusti, in quanto non erano allineati",1,2,No,la postazione era troppo bassa,5,"No, mai",non ci sono stai,3,4,3,ordinare i componenti in ordine di assemblaggio,4,componenti semplici passaggi intuitivi,ordine dei componenti nella fase di assemblaggio,
2/12/2026 17:47:08,26,F,>= 30 e < 40,Ricercatore,,Nessuna,LEGO Duplo,4,4,1,Adeguato,Capire la corrispondenza istruzioni- pezzi fisici,1,2,No,,5,"No, mai",,3,5,4,,4,Pezzi già ordinati,Immagini delle istruzioni più precise,
2/12/2026 18:21:43,27,F,>= 25 e < 30,Ricercatore,,Base (≤ 1 anno),LEGO Duplo,4,4,2,Non saprei,,2,1,No,all'inizio,2,"No, mai",,3,4,2,,4,,,
