exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,sequence_intuitive,perceived_difficulty,perceived_time,perceived_difficulty_what,perceived_effort,comfortable,fatigue,fatigue_when,danger,danger_when,instruments,fluidity,instruments_what,rating,pros,cons,comments_overall,time,setup,robot_facilitated,robot_natural_interaction,robot_obstacle,robot_obstacle_when,robot_velocity,robot_collision,robot_collision_when,safety_effective,robot_trajectory,system_feedback,comments_system,reduced_robot_downtime,robot_timely,interaction_fluidity,efficiency,gui_simple,safety
lego_1,12/2/2025 19:01:14,1,M,C,Researcher,,None,LEGO Train,4,3.0,1.0,2_Adequate,"4, 9",1.0,5.0,No,,No,,5.0,5.0,,4,,,,153.44,Manual,,,,,,,,,,,,,,,4.0,,5.0
car_2,12/2/2025 19:13:22,2,M,C,Other,AVVOCATO,1_Basic,Racing Car,4,5.0,2.0,3_Too long,ALETTONI LATERALI,1.0,5.0,No,NESSUNO,No,NESSUNO,5.0,4.0,,5,GLI STRUMENTI OFFERTI DAL RICERCATORE,NESSUNO,DA PROVARE,647.54,Manual,,,,,,,,,,,,,,,5.0,,5.0
lego_3,12/15/2025 18:01:21,3,M,B,Student,,3_Advanced,LEGO Train,5,4.0,1.0,3_Too long,Ordinamento e divisione delle fasi di assemblaggio nel manuale non immediata,1.0,4.0,No,,No,,5.0,4.0,Pezzi in sequenza di assemblaggio,4,Facilità di unione delle singole componenti tra loro,Separazione migliore delle fasi di assemblaggio,,193.8,Manual,,,,,,,,,,,,,,,4.0,,5.0
car_4,12/15/2025 22:30:53,4,M,A,Student,,None,Racing Car,5,5.0,2.0,2_Adequate,I pezzi sul lato ,1.0,4.0,No,,No,,5.0,4.0,,5,,,,268.76,Manual,,,,,,,,,,,,,,,5.0,,5.0
lego_5,12/16/2025 15:51:32,5,M,C,Other,Sviluppatore software in ambito AI,1_Basic,LEGO Train,5,5.0,1.0,2_Adequate,,1.0,3.0,No,,No,,5.0,5.0,,5,,,,125.85,Manual,,,,,,,,,,,,,,,5.0,,5.0
car_6,12/16/2025 16:29:40,6,M,C,Student,,2_Intermediate,Racing Car,5,5.0,1.0,2_Adequate,Trovare le viti della giusta lunghezza,1.0,4.0,No,,No,,4.0,4.0,,5,,,,210.9,Manual,,,,,,,,,,,,,,,4.0,,5.0
lego_7,12/16/2025 17:10:32,7,M,B,Student,,2_Intermediate,LEGO Train,5,4.0,1.0,2_Adequate,,1.0,2.0,No,,No,,4.0,4.0,,4,,clusterizzazione pezzi consecutivi,,133.99,Manual,,,,,,,,,,,,,,,3.0,,5.0
car_9,12/17/2025 14:45:17,9,M,B,Student,,3_Advanced,Racing Car,3,4.0,2.0,2_Adequate,Lateral bumpers,1.0,5.0,No,,No,,5.0,4.0,,3,,"Le istruzioni davano troppa libertà di scelta riguardo l'ordine di montaggio degli elementi. Sarebbe meglio avere delle istruzioni più sequenziali, ovvero che indicassero un procedimento sequenziale di montaggio.",,317.31,Manual,,,,,,,,,,,,,,,3.0,,4.0
lego_16,2/6/2026 17:51:30,16,M,B,Student,,2_Intermediate,LEGO Train,4,4.0,1.0,2_Adequate,nessuno,1.0,4.0,No,,No,,5.0,5.0,una sedia,5,,,,131.49,Manual,,,,,,,,,,,,,,,4.0,,5.0
car_17,2/6/2026 17:53:45,17,M,A,Student,,3_Advanced,Racing Car,3,5.0,2.0,2_Adequate,il posizionamento del motore,1.0,5.0,No,,No,,5.0,5.0,,5,l'assemblaggio in sè,,,180.52,Manual,,,,,,,,,,,,,,,5.0,,5.0
car_19,2/6/2026 18:39:09,19,M,D,Engineer,,None,Racing Car,5,,2.0,2_Adequate,,1.0,3.0,No,,No,,5.0,5.0,,5,,,,295.08,Manual,,,,,,,,,,,,,,,5.0,,5.0
lego_21,2/9/2026 16:46:35,21,M,B,Student,,1_Basic,LEGO Train,5,5.0,1.0,0_I don't know,Identificazione pezzi (colore poco accurato),1.0,3.0,No,Lettura dei colori dei blocchi,No,Piano appoggio troppo basso,5.0,3.0,"Migliore classificazione dei componenti (basata su codici, meno su aspetto)",4,Semplicità,Riconoscimento oggetti,,152.84,Manual,,,,,,,,,,,,,,,3.0,,4.0
car_22,2/11/2026 15:41:53,22,M,B,Researcher,,2_Intermediate,Racing Car,3,3.0,2.0,2_Adequate,"le viti che si infilano sopra la carrozzeria, ma che hanno bisogno del fondo della macchina per essere fissate",2.0,3.0,No,,No,avevo paura di sbagliare,5.0,3.0,avere un ordine delle operazioni prestabilito,4,mi sono divertito a vedere la macchina assemblata alla fine,specificare ordine delle operazioni,,243.24,Manual,,,,,,,,,,,,,,,2.0,,2.0
lego_20,2/11/2026 16:54:22,20,M,B,Student,,3_Advanced,LEGO Train,5,5.0,1.0,2_Adequate,,1.0,5.0,No,,No,,5.0,5.0,,5,Le istruzioni sequenziali sono sempre ottime da seguire.,,,88.16,Manual,,,,,,,,,,,,,,,5.0,,5.0
car_23,2/12/2026 15:25:15,23,M,B,Student,,1_Basic,Racing Car,5,4.0,1.0,2_Adequate,Paraurti laterali,1.0,4.0,No,,No,,5.0,5.0,,5,,,,183.91,Manual,,,,,,,,,,,,,,,4.0,,5.0
lego_24,2/12/2026 16:08:07,24,M,B,Student,,None,LEGO Train,4,5.0,1.0,2_Adequate,,1.0,2.0,No,,No,,5.0,4.0,,4,,,,99.51,Manual,,,,,,,,,,,,,,,4.0,,4.0
lego_25,2/12/2026 16:43:50,25,M,B,Student,,2_Intermediate,LEGO Train,5,4.0,4.0,3_Too long,"la ricerca dei componenti giusti, in quanto non erano allineati",1.0,2.0,No,la postazione era troppo bassa,No,non ci sono stai,4.0,3.0,ordinare i componenti in ordine di assemblaggio,4,componenti semplici passaggi intuitivi,ordine dei componenti nella fase di assemblaggio,,111.91,Manual,,,,,,,,,,,,,,,3.0,,5.0
lego_26,2/12/2026 17:47:08,26,F,C,Researcher,,None,LEGO Train,4,4.0,1.0,2_Adequate,Capire la corrispondenza istruzioni- pezzi fisici,1.0,2.0,No,,No,,5.0,4.0,,4,Pezzi già ordinati,Immagini delle istruzioni più precise,,166.59,Manual,,,,,,,,,,,,,,,3.0,,5.0
lego_27,2/12/2026 18:21:43,27,F,B,Researcher,,1_Basic,LEGO Train,4,4.0,2.0,0_I don't know,,2.0,1.0,No,all'inizio,No,,4.0,2.0,,4,,,,138.36,Manual,,,,,,,,,,,,,,,3.0,,2.0
lego_28,2/13/2026 11:43:01,28,M,C,Researcher,,2_Intermediate,LEGO Train,5,5.0,1.0,2_Adequate,,1.0,5.0,No,,No,,5.0,5.0,,5,,,,131.76,Manual,,,,,,,,,,,,,,,5.0,,5.0
car_29,2/13/2026 12:08:34,29,M,B,Researcher,,1_Basic,Racing Car,4,3.0,2.0,3_Too long,gli alettoni laterali sono complessi da posizionare correttamente,1.0,2.0,No,nel ruotare la macchina per assemblare gli alettoni laterali,No,,5.0,3.0,forse un sostegno per tenere in posizione delle parti,4,molto intuitivo dove i pezzi dovessero essere posizionati infine,le istruzioni sono poco chiare su come gli alettoni laterali vengono ancorati alla struttura princiaple,,292.68,Manual,,,,,,,,,,,,,,,2.0,,3.0
car_30,2/13/2026 15:42:15,30,M,B,Student,,1_Basic,Racing Car,3,4.0,2.0,2_Adequate,l'assemblaggio delle minigonne era meno intuitivo rispetto il resto ed è il punto in cui ho commesso un errore e ho dovuto smontare un attimo il modellino il resto era intuitivo,1.0,4.0,No,"le minigonne, non avendo prestato l'attenzione dovuta ho commesso un errore nel montaggio che ha forzato lo smontaggio del robot",No,con eccezione di mettersi in imbarazzo fallendo nel montare il modellino no nessuna,5.0,3.0,l' istruzione delle minigonne se messa alla fine renderebbe meno confusa l'assemblaggio,4,è relativamente semplice amche commettendo un errore smontare per resettare il tutto non è difficile,usare istruzioni più simili al ikea con più passsaggi ma più semplice forse renderebbe più facile il montaggio,,271.48,Manual,,,,,,,,,,,,,,,3.0,,2.0
