id,test,model,date,timestamp,agent,component,time
43,1,gpt-5.1,27/02/2026,3.3177058696746826,Recognition,6086771,2.87823
43,1,gpt-5.1,27/02/2026,6.19603157043457,Prediction,6086771,2.54035
43,1,gpt-5.1,27/02/2026,8.771007537841797,Robot,6086771,8.45543
43,1,gpt-5.1,27/02/2026,17.226438283920288,Human,6086771,2.997
43,1,gpt-5.1,27/02/2026,23.523931741714478,Recognition,6330459,2.78686
43,1,gpt-5.1,27/02/2026,26.310920238494873,Prediction,6330459,1.76973
43,1,gpt-5.1,27/02/2026,28.11353373527527,Robot,6330459,7.27252
43,1,gpt-5.1,27/02/2026,35.38605856895447,Human,6330459,6.30583
43,1,gpt-5.1,27/02/2026,44.97172474861145,Recognition,4610745,3.48924
43,1,gpt-5.1,27/02/2026,48.46118378639221,Prediction,4610745,4.37901
43,1,gpt-5.1,27/02/2026,52.87510943412781,Robot,4610745,7.95966
43,1,gpt-5.1,27/02/2026,60.83477425575256,Human,4610745,2.70533
43,1,gpt-5.1,27/02/2026,81.40517354011536,Recognition,6335178,2.36611
43,1,gpt-5.1,27/02/2026,83.77152347564697,Prediction,6335178,2.70699
43,1,gpt-5.1,27/02/2026,86.52747821807861,Robot,6335178,8.003
43,1,gpt-5.1,27/02/2026,94.53048133850098,Human,6335178,3.22511
43,1,gpt-5.1,27/02/2026,101.04390907287598,Recognition,6335170,2.54671
43,1,gpt-5.1,27/02/2026,103.59081220626831,Prediction,6335170,2.69549
43,1,gpt-5.1,27/02/2026,106.32956528663635,Robot,6335170,11.77708
43,1,gpt-5.1,27/02/2026,118.10664415359497,Human,6335170,5.86423
43,1,gpt-5.1,27/02/2026,127.26696276664734,Recognition,4648231,2.61707
43,1,gpt-5.1,27/02/2026,129.88433575630188,Prediction,4648231,2.3718
43,1,gpt-5.1,27/02/2026,132.31304287910461,Robot,4648231,7.99271
43,1,gpt-5.1,27/02/2026,140.305757522583,Human,4648231,6.39118
43,1,gpt-5.1,27/02/2026,149.93422150611877,Recognition,4648238,2.5409
43,1,gpt-5.1,27/02/2026,152.47522020339966,Prediction,4648238,2.28671
43,1,gpt-5.1,27/02/2026,154.84962964057922,Robot,4648238,8.02396
43,1,gpt-5.1,27/02/2026,162.87359404563904,Human,4648238,2.95574
43,1,gpt-5.1,27/02/2026,169.0987675189972,Recognition,6192849,2.65512
43,1,gpt-5.1,27/02/2026,171.75397491455078,Prediction,6192849,3.59112
43,1,gpt-5.1,27/02/2026,175.386314868927,Robot,6192849,9.27095
43,1,gpt-5.1,27/02/2026,184.65726494789124,Human,6192849,7.84213
43,1,gpt-5.1,27/02/2026,204.64927434921265,Recognition,6086771,2.17097
43,1,gpt-5.1,27/02/2026,206.8204698562622,Prediction,6086771,2.43546
43,1,gpt-5.1,27/02/2026,209.33858108520508,Robot,6086771,7.84738
43,1,gpt-5.1,27/02/2026,217.18596243858337,Human,6086771,2.5029
43,1,gpt-5.1,27/02/2026,222.96319937705994,Recognition,6056475,2.28101
43,1,gpt-5.1,27/02/2026,225.24440169334412,Prediction,6056475,2.43249
43,1,gpt-5.1,27/02/2026,227.71124744415283,Robot,6056475,7.6501
43,1,gpt-5.1,27/02/2026,235.36135387420654,Human,6056475,3.08914
43,1,gpt-5.1,27/02/2026,241.7120373249054,Recognition,6286272,2.30698
43,1,gpt-5.1,27/02/2026,244.01921248435974,Prediction,6286272,2.46942
43,1,gpt-5.1,27/02/2026,246.51445198059082,Robot,6286272,7.40713
43,1,gpt-5.1,27/02/2026,253.92158484458923,Human,6286272,4.68926
43,1,gpt-5.1,27/02/2026,261.8484437465668,Recognition,6056492,3.10788
43,1,gpt-5.1,27/02/2026,264.95652866363525,Prediction,6056492,2.971
43,1,gpt-5.1,27/02/2026,267.95186853408813,Robot,6056492,7.46611
43,1,gpt-5.1,27/02/2026,275.41798663139343,Human,6056492,2.57646
43,1,gpt-5.1,27/02/2026,281.24780082702637,Recognition,6330455,2.94202
43,1,gpt-5.1,27/02/2026,284.1900579929352,Prediction,6330455,3.46401
43,1,gpt-5.1,27/02/2026,287.6910398006439,Robot,6330455,7.87823
43,1,gpt-5.1,27/02/2026,295.5692718029022,Human,6330455,6.27183
43,1,gpt-5.1,27/02/2026,305.09051609039307,Recognition,6330456,3.16337
43,1,gpt-5.1,27/02/2026,308.2540748119354,Prediction,6330456,2.98355
43,1,gpt-5.1,27/02/2026,311.27089977264404,Robot,6330456,7.32218
43,1,gpt-5.1,27/02/2026,318.59308338165283,Human,6330456,3.24508
43,1,gpt-5.1,27/02/2026,325.10121035575867,Recognition,6226661,2.58389
43,1,gpt-5.1,27/02/2026,327.6853013038635,Prediction,6226661,2.48343
43,1,gpt-5.1,27/02/2026,330.22341299057007,Robot,6226661,7.82661
43,1,gpt-5.1,27/02/2026,338.0500283241272,Human,6226661,3.56083
40,2,gpt-5.1,27/02/2026,3.296269655227661,Recognition,6086771,2.46663
40,2,gpt-5.1,27/02/2026,5.76305890083313,Prediction,6086771,2.21054
40,2,gpt-5.1,27/02/2026,7.987069368362427,Robot,6086771,8.33784
40,2,gpt-5.1,27/02/2026,16.32490849494934,Human,6086771,4.37662
40,2,gpt-5.1,27/02/2026,23.972861528396606,Recognition,6330459,3.56032
40,2,gpt-5.1,27/02/2026,27.533457279205322,Prediction,6330459,2.60759
40,2,gpt-5.1,27/02/2026,30.164646863937378,Robot,6330459,7.41542
40,2,gpt-5.1,27/02/2026,37.58007264137268,Human,6330459,4.73626
40,2,gpt-5.1,27/02/2026,45.58855438232422,Recognition,4610745,3.2429
40,2,gpt-5.1,27/02/2026,48.83177423477173,Prediction,4610745,2.58921
40,2,gpt-5.1,27/02/2026,51.45179200172424,Robot,4610745,7.95225
40,2,gpt-5.1,27/02/2026,59.40404176712036,Human,4610745,3.65643
40,2,gpt-5.1,27/02/2026,80.1782557964325,Recognition,6335178,2.91599
40,2,gpt-5.1,27/02/2026,83.09444069862366,Prediction,6335178,2.55947
40,2,gpt-5.1,27/02/2026,85.69464778900146,Robot,6335178,7.99642
40,2,gpt-5.1,27/02/2026,93.69107222557068,Human,6335178,4.63298
40,2,gpt-5.1,27/02/2026,101.60645484924316,Recognition,6335170,2.37388
40,2,gpt-5.1,27/02/2026,103.98055219650269,Prediction,6335170,3.40572
40,2,gpt-5.1,27/02/2026,107.43459010124207,Robot,6335170,8.45614
40,2,gpt-5.1,27/02/2026,115.8907356262207,Human,6335170,4.38167
40,2,gpt-5.1,27/02/2026,123.54944133758545,Recognition,4648231,2.39302
40,2,gpt-5.1,27/02/2026,125.94268560409546,Prediction,4648231,3.28001
40,2,gpt-5.1,27/02/2026,129.28697156906128,Robot,4648231,7.99546
40,2,gpt-5.1,27/02/2026,137.28242945671082,Human,4648231,4.44927
40,2,gpt-5.1,27/02/2026,145.03223490715027,Recognition,4648238,2.58584
40,2,gpt-5.1,27/02/2026,147.61847472190857,Prediction,4648238,2.60832
40,2,gpt-5.1,27/02/2026,150.26197218894958,Robot,4648238,7.9491
40,2,gpt-5.1,27/02/2026,158.21107602119446,Human,4648238,5.24009
40,2,gpt-5.1,27/02/2026,166.7404670715332,Recognition,6192849,2.55397
40,2,gpt-5.1,27/02/2026,169.29465508460999,Prediction,6192849,2.49806
40,2,gpt-5.1,27/02/2026,171.8590190410614,Robot,6192849,9.03176
40,2,gpt-5.1,27/02/2026,180.89077734947205,Human,6192849,5.02425
40,2,gpt-5.1,27/02/2026,189.19537615776062,Recognition,,3.44062
40,2,gpt-5.1,27/02/2026,195.9321005344391,Recognition,,2.45149
40,2,gpt-5.1,27/02/2026,210.94284796714783,Recognition,6086771,2.64298
40,2,gpt-5.1,27/02/2026,213.58604645729065,Prediction,6086771,2.41655
40,2,gpt-5.1,27/02/2026,216.05148792266846,Robot,6086771,8.09423
40,2,gpt-5.1,27/02/2026,224.14571690559387,Human,6086771,4.37695
40,2,gpt-5.1,27/02/2026,231.8249921798706,Recognition,6056475,2.27915
40,2,gpt-5.1,27/02/2026,234.10434436798096,Prediction,6056475,2.76047
40,2,gpt-5.1,27/02/2026,236.9020552635193,Robot,6056475,7.27507
40,2,gpt-5.1,27/02/2026,244.17713022232056,Human,6056475,8.88139
40,2,gpt-5.1,27/02/2026,256.3381025791168,Recognition,6286272,2.7015
40,2,gpt-5.1,27/02/2026,259.0399098396301,Prediction,6286272,2.4229
40,2,gpt-5.1,27/02/2026,261.4935688972473,Robot,6286272,7.35593
40,2,gpt-5.1,27/02/2026,268.8495018482208,Human,6286272,4.49687
40,2,gpt-5.1,27/02/2026,276.6238970756531,Recognition,6056492,2.01419
