exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,robot_facilitated,robot_natural_interaction,perceived_time,robot_obstacle,robot_obstacle_when,robot_safe,robot_velocity,robot_collision,robot_collision_when,safety_effective,hci_simple,robot_trajectory,system_feedback,comments_system,reduced_robot_downtime,robot_timely,interaction_fluidity,rating,pros,cons,comments_overall,time
car_32,2/18/2026 15:42:16,32,M,B,Student,,None,car,5,3,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,5,5,riconoscere e predisporre automaticamente il pezzo richiesto nell'area di lavoro,tempi di reazioni nel riconoscimento del passaggio di assemblaggio eseguito,,280.22321972892763
car_33,2/18/2026 17:59:44,33,M,C,Researcher,,None,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,"After pressing enter, indicator can be improved.","Yes, slightly",5.0,5,5,,,,289.3999453237152
car_34,2/19/2026 13:48:37,34,M,B,Student,,None,car,5,3,4,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, significantly",5.0,5,5,right order of parts,,,282.15379665878294
car_35,2/19/2026 14:00:42,35,M,B,Student,,None,car,5,4,4,2_Adequate,No,,3,1_Too short,Sometimes,Nell'inserimento delle ruote,2,5.0,4,Yes,,"Yes, slightly",3.0,3,4,La certezza di non prendere pezzi sbagliati e il non doverli cercare ,La sicurezza nel passaggio veloce di pezzi analoghi,,314.62916357040405
car_36,2/19/2026 14:17:40,36,M,B,Researcher,,None,car,5,5,4,2_Adequate,No,,5,2_Adequate,Sometimes,Durante l'assemblaggio delle ruote,5,5.0,4,Yes,,"Yes, slightly",5.0,4,5,Facilitazione della scelta del pezzo da assemblare,Mostrare a video l'immagine del pezzo che verrà assemblato allo step successivo e riconoscimento vocale.,,336.8085376712036
car_37,2/19/2026 18:05:50,37,M,B,Other,corriere,None,car,5,5,4,2_Adequate,No,,5,3_Too long,Sometimes,poco spazio,2,5.0,5,Yes,,"Yes, slightly",3.0,3,3,che mi passava i componenti,velocità dei singoli componenti,,315.4602458901215
car_38,2/19/2026 18:38:24,38,M,B,Student,,1_Basic,car,5,5,4,2_Adequate,Yes,"Durante la fase di passaggio delle ruote, alle volte capita di trovarsi molto vicini al robot, che ""ingombra""",4,2_Adequate,Sometimes,Durante la fase di passaggio delle ruote,4,5.0,5,Yes,,"Yes, slightly",5.0,5,5,Non dover pensare al prossimo passo,"La velocità di riconoscimento delle immagini, l'interfaccia utente (conferme, stato esecuzione)",,292.1862027913665
car_39,2/20/2026 10:44:02,39,M,B,Researcher,,3_Advanced,car,5,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, slightly",5.0,5,5,Mi ha aiutato a capire quale era il prossimo pezzo da assemblare e mi ha fatto seguire una linea di assemblaggio precisa,Cercherei di ridurre i tempi di attesa il più possibile,Aggiungerei un segnale acustico o un feedback ogni volta che si preme invio e cercherei di far funzionare il modello di predizione in real time,294.7453103779602
car_40,2/20/2026 11:01:58,40,M,A,Student,,2_Intermediate,car,5,4,5,2_Adequate,No,,5,2_Adequate,Never,,4,5.0,5,Yes,,"Yes, slightly",5.0,4,5,,,,274.1495590280914
car_41,2/20/2026 11:29:06,41,M,B,Student,,1_Basic,car,5,5,4,2_Adequate,No,,4,2_Adequate,Sometimes,assemblaggio ruote,4,5.0,4,Yes,,"Yes, slightly",4.0,4,5,capire l'ordine di assemblaggio,postazione di assemblaggio leggermente più grande per evitare totalmente le possibili collisioni,,319.32008482818605
car_42,2/20/2026 11:50:23,42,M,C,Researcher,,None,car,4,5,5,2_Adequate,No,,5,2_Adequate,Never,,5,4.0,4,Yes,,I don't know,5.0,5,5,Giusta pipeline di assemblaggio,,,272.7746591055298
car_43,2/20/2026 14:36:04,43,M,B,Researcher,,1_Basic,car,5,5,5,2_Adequate,No,,4,2_Adequate,Never,,5,5.0,5,Yes,,"Yes, significantly",5.0,5,5,"Nel caso di pezzi ripetuti (eg, ruote), il braccio depositava già i pezzi successivi sul banco di scambia, minimizzando i tempi morti.","Aumentare lo spazio, specie nel caso del banco di scambio dove il robot deposita i pezzi che l'umano deve raccogliere, diminuendo ulteriormente eventuali rischi di collisioni",,254.6211013789368
car_45,2/20/2026 14:46:19,45,M,B,Student,,2_Intermediate,car,5,5,5,2_Adequate,No,,4,2_Adequate,Sometimes,Durante alcuni passaggi ho avuto paura che il robot potesse colpirmi,4,5.0,5,Yes,,"Yes, significantly",5.0,5,5,Potermi concentrare sull'assemblaggio,Ridurre l'ingombro del sistema totale,,283.968003942566
