,exp_id,timestamp,operator_id,gender,age,job,job_other,experience,product,task_clarity,sequence_intuitive,perceived_difficulty,perceived_time,perceived_difficulty_what,perceived_effort,comfortable,fatigue,fatigue_when,assured,danger,danger_when,efficency,instruments,fluidity,instruments_what,rating,pros,cons,comments_overall,time
0,lego_1,12/2/2025 19:01:14,1,M,C,Researcher,,None,lego,4,3.0,1,2_Adequate,"4, 9",1.0,5,No,,5,No,,4,5,5,,4,,,,153.44
1,car_2,12/2/2025 19:13:22,2,M,C,Other,AVVOCATO,1_Basic,car,4,5.0,2,1_Too long,ALETTONI LATERALI,1.0,5,No,NESSUNO,5,No,NESSUNO,5,5,4,,5,GLI STRUMENTI OFFERTI DAL RICERCATORE,NESSUNO,DA PROVARE,647.54
2,lego_3,12/15/2025 18:01:21,3,M,B,Student,,3_Advanced,lego,5,4.0,1,1_Too long,Ordinamento e divisione delle fasi di assemblaggio nel manuale non immediata,1.0,4,No,,5,No,,4,5,4,Pezzi in sequenza di assemblaggio,4,Facilità di unione delle singole componenti tra loro,Separazione migliore delle fasi di assemblaggio,,193.8
3,car_4,12/15/2025 22:30:53,4,M,A,Student,,None,car,5,5.0,2,2_Adequate,I pezzi sul lato ,1.0,4,No,,5,No,,5,5,4,,5,,,,268.76
4,lego_5,12/16/2025 15:51:32,5,M,C,Other,Sviluppatore software in ambito AI,1_Basic,lego,5,5.0,1,2_Adequate,,1.0,3,No,,5,No,,5,5,5,,5,,,,125.85
5,car_6,12/16/2025 16:29:40,6,M,C,Student,,2_Intermediate,car,5,5.0,1,2_Adequate,Trovare le viti della giusta lunghezza,1.0,4,No,,5,No,,4,4,4,,5,,,,210.9
6,lego_7,12/16/2025 17:10:32,7,M,B,Student,,2_Intermediate,lego,5,4.0,1,2_Adequate,,1.0,2,No,,5,No,,3,4,4,,4,,clusterizzazione pezzi consecutivi,,133.99
7,car_9,12/17/2025 14:45:17,9,M,B,Student,,3_Advanced,car,3,4.0,2,2_Adequate,Lateral bumpers,1.0,5,No,,4,No,,3,5,4,,3,,"Le istruzioni davano troppa libertà di scelta riguardo l'ordine di montaggio degli elementi. Sarebbe meglio avere delle istruzioni più sequenziali, ovvero che indicassero un procedimento sequenziale di montaggio.",,317.31
8,lego_16,2/6/2026 17:51:30,16,M,B,Student,,2_Intermediate,lego,4,4.0,1,2_Adequate,nessuno,1.0,4,No,,5,No,,4,5,5,una sedia,5,,,,131.49
9,car_17,2/6/2026 17:53:45,17,M,A,Student,,3_Advanced,car,3,5.0,2,2_Adequate,il posizionamento del motore,1.0,5,No,,5,No,,5,5,5,,5,l'assemblaggio in sè,,,180.52
