VAR,PRODUCT,SETUP,n/a,1,2,3,4,5,avg
task_clarity,LEGO Train,Manual,,0,0,0,7,8,4.53
task_clarity,LEGO Train,Robot,,0,0,0,4,11,4.73
task_clarity,Racing Car,Manual,,0,0,7,10,13,4.20
task_clarity,Racing Car,Robot,,0,0,0,2,28,4.93
rating,LEGO Train,Manual,,0,0,0,8,7,4.47
rating,LEGO Train,Robot,,0,0,1,6,8,4.47
rating,Racing Car,Manual,,0,0,3,8,19,4.53
rating,Racing Car,Robot,,0,0,3,5,22,4.63
perceived_effort,LEGO Train,Manual,,14,1,0,0,0,1.07
perceived_effort,Racing Car,Manual,,26,2,1,0,0,1.14
comfortable,LEGO Train,Manual,,1,4,2,4,4,3.40
comfortable,Racing Car,Manual,,1,2,7,8,12,3.93
fatigue,LEGO Train,Manual,,15,,,,0,1.00
fatigue,Racing Car,Manual,,28,,,,1,1.14
sequence_intuitive,LEGO Train,Manual,,0,0,1,6,8,4.47
sequence_intuitive,Racing Car,Manual,,1,1,6,13,8,3.90
perceived_difficulty,LEGO Train,Manual,,13,1,0,1,0,1.27
perceived_difficulty,Racing Car,Manual,,10,14,3,2,1,2.00
efficiency,LEGO Train,Manual,,0,0,5,4,6,4.07
efficiency,Racing Car,Manual,,0,2,6,13,9,3.97
robot_facilitated,LEGO Train,Robot,,0,2,3,4,6,3.93
robot_facilitated,Racing Car,Robot,,0,1,4,9,16,4.33
reduced_robot_downtime,LEGO Train,Robot,1,4,,8,,1,2.54
reduced_robot_downtime,Racing Car,Robot,4,2,,18,,6,3.31
robot_natural_interaction,LEGO Train,Robot,,0,0,0,5,10,4.67
robot_natural_interaction,Racing Car,Robot,,0,0,3,8,19,4.53
robot_timely,LEGO Train,Robot,,0,0,0,3,12,4.80
robot_timely,Racing Car,Robot,,0,1,3,5,20,4.52
interaction_fluidity,LEGO Train,Robot,,0,0,2,8,5,4.20
interaction_fluidity,Racing Car,Robot,,1,0,3,10,16,4.33
robot_trajectory,LEGO Train,Robot,,0,0,0,1,14,4.93
robot_trajectory,Racing Car,Robot,,0,0,0,7,23,4.77
robot_velocity,LEGO Train,Robot,,0,,11,,4,3.53
robot_velocity,Racing Car,Robot,,1,,26,,3,3.13
robot_obstacle,LEGO Train,Robot,,15,,,,0,1.00
robot_obstacle,Racing Car,Robot,,28,,,,2,1.27
robot_collision,LEGO Train,Robot,,14,,1,,0,1.13
robot_collision,Racing Car,Robot,,22,,8,,0,1.53
safety_effective,LEGO Train,Robot,,0,0,0,3,12,4.80
safety_effective,Racing Car,Robot,,0,2,2,8,18,4.40
gui_simple,LEGO Train,Robot,,0,0,0,2,12,4.86
gui_simple,Racing Car,Robot,,0,1,0,4,25,4.77
perceived_time,LEGO Train,Manual,2,1,,10,,2,3.15
perceived_time,LEGO Train,Robot,0,0,,7,,8,4.07
perceived_time,Racing Car,Manual,1,0,,22,,7,3.48
perceived_time,Racing Car,Robot,0,0,,24,,5,3.34
safety,LEGO Train,Manual,,0,1,0,2,12,4.67
safety,LEGO Train,Robot,,0,0,0,0,15,5.00
safety,Racing Car,Manual,,0,2,1,3,24,4.63
safety,Racing Car,Robot,,0,1,1,6,22,4.63
